title,location,startTime,endTime,grade,suggestion
Reading,Park,2023-07-23 19:47:00,2023-07-23 23:47:00,5,1
Sleeping,Home,2023-08-08 22:00:00,2023-08-08 07:00:00,4,1
Sleeping,Home,2023-01-23 22:19:00,2023-01-23 06:19:00,5,1
Lunch,Home,2023-04-21 12:50:00,2023-04-21 14:50:00,0,0
Project Work,Office,2023-10-27 11:23:00,2023-10-27 12:23:00,0,0
Dinner,Home,2023-07-03 13:24:00,2023-07-03 14:24:00,0,0
Playing Games,Park,2023-09-11 15:12:00,2023-09-11 18:12:00,5,1
Sleeping,Home,2023-05-11 23:01:00,2023-05-11 05:01:00,4,1
Playing Games,Park,2023-06-03 13:39:00,2023-06-03 16:39:00,3,1
Sleeping,Home,2023-05-06 23:24:00,2023-05-06 06:24:00,5,1
Sleeping,Home,2023-05-01 22:37:00,2023-05-01 06:37:00,5,1
Meeting,Library,2023-05-09 16:13:00,2023-05-09 17:13:00,0,0
Lunch,Home,2023-12-18 15:09:00,2023-12-18 16:09:00,0,0
Playing Games,Park,2023-07-04 11:51:00,2023-07-04 14:51:00,5,1
Project Work,Library,2023-04-21 07:51:00,2023-04-21 08:51:00,0,0
Study,Home,2023-07-18 12:15:00,2023-07-18 16:15:00,0,0
Sleeping,Home,2023-03-28 21:18:00,2023-03-28 05:18:00,4,1
Exercising,Park,2023-07-10 10:24:00,2023-07-10 14:24:00,4,1
Dinner,Cafeteria,2023-09-13 08:51:00,2023-09-13 12:51:00,0,0
Work,Library,2023-02-16 10:19:00,2023-02-16 17:19:00,0,0
Reading,Library,2023-09-09 21:39:00,2023-09-09 01:39:00,5,1
Work,Home,2023-03-31 07:01:00,2023-03-31 13:01:00,0,0
Meeting,Library,2023-07-25 16:57:00,2023-07-25 20:57:00,0,0
Dinner,Cafeteria,2023-05-21 07:31:00,2023-05-21 09:31:00,0,0
Shopping,Market,2023-11-15 17:52:00,2023-11-15 20:52:00,0,0
Shopping,Market,2023-10-21 14:35:00,2023-10-21 18:35:00,0,0
Exercising,Home,2023-06-09 21:11:00,2023-06-09 22:11:00,5,1
Study,Home,2023-11-12 09:55:00,2023-11-12 12:55:00,0,0
Lunch,Home,2023-12-06 19:34:00,2023-12-06 22:34:00,0,0
Playing Games,Home,2023-10-24 07:00:00,2023-10-24 09:00:00,3,1
Shopping,Market,2023-12-27 11:53:00,2023-12-27 14:53:00,0,0
Shopping,Market,2023-03-31 12:38:00,2023-03-31 14:38:00,0,0
Dinner,Cafeteria,2023-10-13 15:52:00,2023-10-13 18:52:00,0,0
Exercising,Park,2023-10-12 08:15:00,2023-10-12 09:15:00,3,1
Exercising,Park,2023-02-22 11:41:00,2023-02-22 14:41:00,4,1
Exercising,Gym,2023-10-26 17:58:00,2023-10-26 18:58:00,4,1
Dinner,Cafeteria,2023-05-19 15:01:00,2023-05-19 16:01:00,0,0
Study,Library,2023-08-01 08:39:00,2023-08-01 12:39:00,0,0
Work,Home,2023-10-01 16:57:00,2023-10-01 22:57:00,0,0
Lunch,Home,2023-05-09 10:38:00,2023-05-09 13:38:00,0,0
Watching TV,Home,2023-06-17 14:11:00,2023-06-17 17:11:00,4,1
Exercising,Park,2023-02-08 21:18:00,2023-02-08 01:18:00,4,1
Work,Office,2023-07-13 07:14:00,2023-07-13 14:14:00,0,0
Meeting,Office,2023-02-18 10:53:00,2023-02-18 11:53:00,0,0
Sleeping,Home,2023-08-03 21:57:00,2023-08-03 03:57:00,4,1
Exercising,Home,2023-02-15 17:20:00,2023-02-15 19:20:00,4,1
Lunch,Cafeteria,2023-05-03 18:04:00,2023-05-03 22:04:00,0,0
Study,Library,2023-06-27 13:04:00,2023-06-27 14:04:00,0,0
Dinner,Home,2023-01-23 11:03:00,2023-01-23 14:03:00,0,0
Meeting,Library,2023-08-20 19:36:00,2023-08-20 20:36:00,0,0
Project Work,Home,2023-12-15 11:40:00,2023-12-15 14:40:00,0,0
Work,Office,2023-11-18 11:35:00,2023-11-18 17:35:00,0,0
Sleeping,Home,2023-12-08 23:23:00,2023-12-08 08:23:00,3,1
Study,Library,2023-11-19 20:53:00,2023-11-19 21:53:00,0,0
Lunch,Office,2023-02-02 12:48:00,2023-02-02 15:48:00,0,0
Shopping,Market,2023-11-23 08:05:00,2023-11-23 11:05:00,0,0
